<<DATA:1136,840,5,36,1,NNE,28.12,100463.77,71.95,0.04,0.17,0.88,-6.37,106.80,96.10,-81>>
<<DATA:1157,845,0,36,1,NNE,28.11,100463.89,71.94,0.04,0.16,0.88,-6.37,106.80,96.10,-81>>
<<DATA:1142,832,0,36,1,NNE,28.11,100464.08,71.93,0.03,0.17,0.88,-6.37,106.80,96.10,-82>>
<<DATA:1131,827,2,36,1,NNE,28.11,100463.88,71.94,0.04,0.16,0.88,-6.37,106.80,96.10,-82>>
<<DATA:1150,818,-7,35,1,NNE,28.07,100463.58,72.03,0.04,0.16,0.88,-6.37,106.80,96.10,-83>>
<<DATA:1142,850,5,36,1,NNE,28.06,100462.12,72.23,0.04,0.16,0.87,-6.37,106.80,96.10,-82>>
<<DATA:1140,837,-10,36,1,NNE,28.05,100459.64,72.33,0.06,0.22,0.93,-6.37,106.80,96.10,-83>>
<<DATA:1140,830,-7,36,1,NNE,28.06,100462.46,72.06,0.05,0.16,0.88,-6.37,106.80,96.10,-82>>
<<DATA:1136,837,-10,36,1,NNE,28.06,100462.63,72.05,0.04,0.17,0.89,-6.37,106.80,96.10,-83>>
<<DATA:1150,827,-2,35,1,NNE,28.06,100461.22,72.27,0.05,0.22,0.93,-6.37,106.80,96.10,-82>>
<<DATA:1133,825,-10,36,1,NNE,28.07,100463.75,72.04,0.04,0.16,0.88,-6.37,106.80,96.10,-82>>
<<DATA:1140,821,2,35,1,NNE,28.07,100462.67,72.10,0.03,0.16,0.87,-6.37,106.80,96.10,-81>>
<<DATA:1145,827,-10,35,1,NNE,28.06,100462.31,72.08,0.04,0.16,0.88,-6.37,106.80,96.10,-82>>
<<DATA:1152,835,0,35,1,NNE,28.06,100462.46,72.06,0.04,0.16,0.88,-6.37,106.80,96.10,-81>>
<<DATA:1150,840,0,36,1,NNE,28.06,100462.63,72.14,0.03,0.16,0.87,-6.37,106.80,95.80,-81>>
<<DATA:1140,837,2,36,1,NNE,28.06,100461.59,72.49,0.06,0.22,0.93,-6.37,106.80,95.80,-81>>
<<DATA:1136,821,-2,35,1,NNE,28.02,100461.81,72.12,0.03,0.17,0.89,-6.37,106.80,95.80,-82>>
